"X23PG"	"X2OHGlu"	"X6PG"	"aKG"	"Cit"	"F6P"	"FBP"	"G6P"	"Gly3P"	"IsoCit"	"Lact"	"Mala"	"Man6P"	"P5P"	"PEP"	"Sed7P"	"Succ"
"Alternaria"	-0.106071490269169	0.997345954358179	-0.838957336263954	0.424888296157454	-0.961096483625959	-0.981936514713514	0.505386499116062	-0.97800456555416	-0.00558416537800141	0.900452153982103	0.706211466910631	0.983692179047089	-0.98174765309378	-0.0493187588591123	-0.297275821173615	-0.291779120145177	0.999574430690186
"Aspergillus"	-0.818750969285902	-0.546488529723324	0.882299120595271	0.586446801745383	0.706927159189282	0.309754184477033	-0.999698980865283	0.290899031107567	-0.872316075789155	-0.055276159955933	-0.961375346480222	-0.63355317914967	0.308807413832034	-0.850094557061837	-0.691573608684223	-0.695716738200617	-0.458331873895738
"Candida"	-0.812734687493971	-0.555169847856308	0.88714724876963	0.577990015804444	0.714245732696789	0.319627316362472	-0.999900096490097	0.300834937394666	-0.867183168009826	-0.0656587342825777	-0.964186246380298	-0.641566512403804	0.318683799700951	-0.844570844122329	-0.684023154645239	-0.688207559293753	-0.467551707521109
"Cladosporium"	-0.26500058159166	0.972559520392044	-0.740242723385435	0.565279136410099	-0.903990110620855	-0.999596033298761	0.359653669992561	-0.998838930318818	-0.166734929902156	0.958798163228656	0.582824026586671	0.941824782101747	-0.999567242137648	-0.20970367950534	-0.447324253960758	-0.442172594239577	0.991200618232754
"Cyberlindnera"	0.903297806575917	-0.458938123373142	-0.0257566371856786	-0.993864203978697	0.266558904317778	0.674310558347491	0.471767307430142	0.688775584205541	0.855599613283087	-0.841287671534931	0.234778900123551	-0.360522568632132	0.67504541048803	0.877422552527508	0.969445974261358	0.968018989704562	-0.54705975019383
"Malassezia"	0.917607058516797	-0.427908179300438	-0.0603453634112244	-0.997097318455708	0.2330359506085	0.648344592779358	0.502005991311991	0.6632673354402	0.873005232169693	-0.822070694624725	0.268286294198151	-0.32801874610629	0.649102255791289	0.89350247181865	0.97735637252499	0.976123122051872	-0.517755362167493
"Penicillium"	0.907024361762742	-0.451131065912923	-0.0345199841471377	-0.99479572689089	0.258098625142554	0.667810488723168	0.479479458743069	0.682393082051065	0.860104991117313	-0.836515873297758	0.243292067283661	-0.352331060148735	0.668551201564567	0.881594638760493	0.971559363943353	0.970181285450727	-0.539699720302348
"Pezoloma"	0.907024361762742	-0.451131065912922	-0.0345199841471377	-0.99479572689089	0.258098625142554	0.667810488723168	0.479479458743069	0.682393082051065	0.860104991117313	-0.836515873297758	0.243292067283661	-0.352331060148735	0.668551201564567	0.881594638760494	0.971559363943353	0.970181285450727	-0.539699720302348
"Saccharomyces"	0.219155465367984	0.967827693438469	-0.969353306567598	0.111386643552808	-0.998878309102858	-0.869019848680293	0.75591460080665	-0.859069879159046	0.316119110560681	0.712873897089409	0.896299499839405	0.989306166381626	-0.868526826092676	0.274318980112192	0.0253792768206893	0.0311288178832194	0.937160502140917
"Alternaria"	-0.439447383431453	0.301515452038798	0.253476296299224	-0.927218896366125	NA	0.302329320966863	-0.551904408858178	0.348180403101961	-0.683137218008319	0.618277707813989	0.0518843863065265	0.999987422706804	0.548932034923774	0.79759422524592	0.223801079294126	0.390629422404851	-0.686001481211648
"Aspergillus"	-0.572547540344187	0.687696535303078	-0.968929496066068	0.77712341346369	NA	-0.980251347183095	-0.461732061442673	-0.988685158615362	-0.307479636583531	-0.987172055925356	0.848257061524432	-0.489240452987796	-0.997197591600339	-0.914270425838542	-0.960919778730274	-0.994504298323861	0.968967811977642
"Aureobasidium"	0.997648468363331	-0.976484398312466	0.711020470424762	0.139242900941061	NA	0.674350850415487	0.998135774940733	0.637763636306179	0.974013110762514	0.371543643260931	-0.890811627192672	-0.495630196307399	0.44943663459521	0.123607428586504	0.732173705541177	0.601921679022335	-0.287141562972343
"Cyberlindnera"	0.53961052310798	-0.658388804286914	0.958367807465632	-0.801450959495596	NA	0.971645427510497	0.426221344099726	0.981964710593135	0.269532862101767	0.992723273163246	-0.826606103737658	0.523415056600622	0.999378870768842	0.929604614196462	0.949195845428334	0.989574676620937	-0.978001572958167
"Malassezia"	-0.879746708159548	0.799599182814951	-0.356083748168401	-0.536742539795838	NA	-0.308114452590887	-0.933836370718435	-0.261635615863989	-0.980383073055819	0.0461872389267322	0.622750753010394	0.810751700489486	-0.0392496972681887	0.298337574043452	-0.384469488080703	-0.217283454809269	-0.135217935636015
"Pezoloma"	-0.557505793917942	0.674347000799465	-0.964259414823098	0.788467542942666	NA	-0.976483274359747	-0.445484596800713	-0.985786188658191	-0.290081303280117	-0.989918668583446	0.838461544003625	-0.505058782161084	-0.99839573875568	-0.921503705871688	-0.95571341551748	-0.992430377111529	0.973313101093569
"Saccharomyces"	-0.441664991451529	0.303869821393441	0.251085945769939	-0.926290909082205	NA	0.299973745953059	-0.553962686023309	0.34586365885495	-0.684939133860251	0.616334303135108	0.0543511524412335	0.999971982321935	0.546865558306304	0.796101749844955	0.22139280315623	0.388354245326706	-0.684202032734245
"Sarocladium"	-0.997646887086862	0.97647942498121	-0.711004249852794	-0.13926574365623	NA	-0.674333816960826	-0.998137182542161	-0.637745868830114	-0.974018335092242	-0.371522226966012	0.890801145724835	0.495650231049188	-0.44941602802331	-0.123584537983922	-0.73215799367873	-0.601903258216064	0.28711946684
