Sample	Sex	Label	Fraction	Hour
12CF1_4h_light	Female	12C	Light	4h
12CF1_4h_heavy	Female	12C	Heavy	4h
12CF2_4h_light	Female	12C	Light	4h
12CF2_4h_heavy	Female	12C	Heavy	4h
12CF3_4h_light	Female	12C	Light	4h
12CF3_4h_heavy	Female	12C	Heavy	4h
12CF1_10h_light	Female	12C	Light	10h
12CF1_10h_heavy	Female	12C	Heavy	10h
12CF2_10h_light	Female	12C	Light	10h
12CF2_10h_heavy	Female	12C	Heavy	10h
12CF3_10h_light	Female	12C	Light	10h
12CF3_10h_heavy	Female	12C	Heavy	10h
12CF1_30h_light	Female	12C	Light	30h
12CF1_30h_heavy	Female	12C	Heavy	30h
12CF2_30h_light	Female	12C	Light	30h
12CF2_30h_heavy	Female	12C	Heavy	30h
12CF3_30h_light	Female	12C	Light	30h
12CF3_30h_heavy	Female	12C	Heavy	30h
12CM1_4h_light	Male	12C	Light	4h
12CM1_4h_heavy	Male	12C	Heavy	4h
12CM2_4h_light	Male	12C	Light	4h
12CM2_4h_heavy	Male	12C	Heavy	4h
12CM3_4h_light	Male	12C	Light	4h
12CM3_4h_heavy	Male	12C	Heavy	4h
12CM1_10h_light	Male	12C	Light	10h
12CM1_10h_heavy	Male	12C	Heavy	10h
12CM2_10h_light	Male	12C	Light	10h
12CM2_10h_heavy	Male	12C	Heavy	10h
12CM3_10h_light	Male	12C	Light	10h
12CM3_10h_heavy	Male	12C	Heavy	10h
13CF1_4h_light	Female	13C	Light	4h
13CF1_4h_heavy	Female	13C	Heavy	4h
13CF2_4h_light	Female	13C	Light	4h
13CF2_4h_heavy	Female	13C	Heavy	4h
13CF3_4h_light	Female	13C	Light	4h
13CF3_4h_heavy	Female	13C	Heavy	4h
13CF1_10h_light	Female	13C	Light	10h
13CF1_10h_heavy	Female	13C	Heavy	10h
13CF2_10h_light	Female	13C	Light	10h
13CF2_10h_heavy	Female	13C	Heavy	10h
13CF3_10h_light	Female	13C	Light	10h
13CF3_10h_heavy	Female	13C	Heavy	10h
13CF1_30h_light	Female	13C	Light	30h
13CF1_30h_heavy	Female	13C	Heavy	30h
13CF2_30h_light	Female	13C	Light	30h
13CF2_30h_heavy	Female	13C	Heavy	30h
13CF3_30h_light	Female	13C	Light	30h
13CF3_30h_heavy	Female	13C	Heavy	30h
13CM1_4h_light	Male	13C	Light	4h
13CM1_4h_heavy	Male	13C	Heavy	4h
13CM2_4h_light	Male	13C	Light	4h
13CM2_4h_heavy	Male	13C	Heavy	4h
13CM3_4h_light	Male	13C	Light	4h
13CM3_4h_heavy	Male	13C	Heavy	4h
13CM1_10h_light	Male	13C	Light	10h
13CM1_10h_heavy	Male	13C	Heavy	10h
13CM2_10h_light	Male	13C	Light	10h
13CM2_10h_heavy	Male	13C	Heavy	10h
13CM3_10h_light	Male	13C	Light	10h
13CM3_10h_heavy	Male	13C	Heavy	10h
TiF1_light	Female	Ti	Light	0h
TiF1_heavy	Female	Ti	Heavy	0h
TiF2_light	Female	Ti	Light	0h
TiF2_heavy	Female	Ti	Heavy	0h
TiF3_light	Female	Ti	Light	0h
TiF3_heavy	Female	Ti	Heavy	0h
TiM1_light	Male	Ti	Light	0h
TiM1_heavy	Male	Ti	Heavy	0h
TiM2_light	Male	Ti	Light	0h
TiM2_heavy	Male	Ti	Heavy	0h
TiM3_light	Male	Ti	Light	0h
TiM3_heavy	Male	Ti	Heavy	0h
