Samples	Label	Sex	Fraction	Comb	Comb2	Comb3	Family	Ab
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Davidiellaceae	14.6781467814678
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Trichocomaceae	5.62730627306273
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Malasseziaceae	2.69577695776958
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Saccharomycetaceae	0.0410004100041
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Pleosporaceae	4.80729807298073
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Corticiaceae	0.010250102501025
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Dothioraceae	2.81877818778188
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Wallemiaceae	0.030750307503075
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Cystofilobasidiaceae	0
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Hymenochaetaceae	7.04182041820418
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Cordycipitaceae	0
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Peniophoraceae	0.030750307503075
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Polyporaceae	1.85526855268553
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Filobasidiaceae	0
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Diatrypaceae	0
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Meruliaceae	0
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Erysiphaceae	2.02952029520295
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Phaeosphaeriaceae	2.0910209102091
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Leotiaceae	0.0820008200082001
 12CF_4h_light	12C	Female	Light	4h_Light	12CFemale	12CF	Other_fungi	56.160311603116
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Davidiellaceae	15.2111521115211
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Trichocomaceae	4.81754817548175
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Malasseziaceae	0.881508815088151
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Saccharomycetaceae	3.3210332103321
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Pleosporaceae	4.08979089790898
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Corticiaceae	0.686756867568676
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Dothioraceae	0.533005330053301
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Wallemiaceae	0.727757277572776
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Cystofilobasidiaceae	0.840508405084051
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Hymenochaetaceae	1.07626076260763
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Cordycipitaceae	0
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Peniophoraceae	1.69126691266913
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Polyporaceae	1.4760147601476
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Filobasidiaceae	0
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Diatrypaceae	0.0512505125051251
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Meruliaceae	0
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Erysiphaceae	2.36777367773678
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Phaeosphaeriaceae	0.1640016400164
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Leotiaceae	1.66051660516605
 12CF_4h_heavy	12C	Female	Heavy	4h_Heavy	12CFemale	12CF	Other_fungi	60.4038540385404
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Davidiellaceae	10.9676096760968
 12CF_10h_light	12C	Female	Light	10h_Light	12CFemale	12CF	Trichocomaceae	11.059860598606
