OTU	Phylum	Class	Order	Family	Genus	Species
OTU1	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	unclassified
OTU2	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU3	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
OTU4	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU5	Basidiomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU6	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Cyberlindnera	Cyberlindnera_jadinii
OTU7	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_palandui
OTU9	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	unclassified
OTU10	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU11	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_penicillioides
OTU12	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Hymenochaete	Hymenochaete_innexa
OTU13	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Aureobasidium	unclassified
OTU14	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_tropicalis
OTU15	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_parapsilosis
OTU16	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_conicus
OTU17	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Leptospora	Leptospora_rubella
OTU18	Ascomycota	Dothideomycetes	Capnodiales	Capnodiales_fam_Incertae_sedis	unclassified_Capnodiales_fam_Incertae_sedis	Capnodiales_fam_Incertae_sedis_sp
OTU19	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	Cryptococcus	Cryptococcus_cyanovorans
OTU20	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	unclassified
OTU21	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Cystofilobasidium	Cystofilobasidium_infirmominiatum
OTU22	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Exidia	unclassified
OTU23	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	unclassified
OTU25	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU26	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	unclassified
OTU27	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU28	Ascomycota	Leotiomycetes	Leotiales	Leotiaceae	Pezoloma	Pezoloma_ericae
OTU29	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_rugulosus
OTU31	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	unclassified
OTU32	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	Vuilleminia	Vuilleminia_coryli
OTU33	Basidiomycota	Agaricomycetes	Corticiales	Corticiaceae	unclassified_Corticiaceae	Corticiaceae_sp
OTU34	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	unclassified	unclassified
OTU35	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU36	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU37	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_mellicola
OTU38	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium_capsuligenum
OTU39	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum_commune
OTU41	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	unclassified_Diatrypaceae	Diatrypaceae_sp
OTU42	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU43	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	unclassified
OTU44	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	unclassified	unclassified
OTU45	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pyronema	Pyronema_sp
OTU46	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Aspergillus	Aspergillus_puulaauensis
OTU47	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU48	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU49	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	unclassified
OTU50	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU51	Ascomycota	Sordariomycetes	unclassified	unclassified	unclassified	unclassified
OTU52	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Blumeria	Blumeria_graminis
OTU53	Ascomycota	Dothideomycetes	Capnodiales	Davidiellaceae	Cladosporium	Cladosporium_halotolerans
OTU54	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_domesticum
OTU55	Ascomycota	unclassified	unclassified	unclassified	unclassified	unclassified
OTU56	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	Sarocladium_kiliense
OTU57	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU58	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium_sp
OTU59	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU60	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Rhodotorula	Rhodotorula_mucilaginosa
OTU61	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	unclassified	unclassified
OTU62	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU63	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	unclassified
OTU64	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Gloiothele	Gloiothele_citrina
OTU65	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Cystofilobasidiaceae	Itersonilia	Itersonilia_perplexans
OTU66	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU67	Basidiomycota	Exobasidiomycetes	Microstromatales	Microstromataceae	Microstroma	Microstroma_phylloplanum
OTU68	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	unclassified
OTU69	Basidiomycota	Microbotryomycetes	Sporidiobolales	unclassified_Sporidiobolales	unclassified_Sporidiobolales	Sporidiobolales_sp
OTU70	Ascomycota	Dothideomycetes	Pleosporales	Montagnulaceae	unclassified_Montagnulaceae	Montagnulaceae_sp
OTU71	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_catenulata
OTU72	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	unclassified	unclassified
OTU73	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	unclassified
OTU74	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Ampelomyces	Ampelomyces_sp
OTU75	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU76	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora_piceae
OTU77	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU78	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	unclassified
OTU79	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolales_fam_Incertae_sedis	Sporobolomyces	Sporobolomyces_roseus
OTU80	Ascomycota	Sordariomycetes	Sordariomycetidae_ord_Incertae_sedis	Glomerellaceae	Colletotrichum	Colletotrichum_crassipes
OTU81	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Chalara	Chalara_holubovae
OTU82	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU83	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Exidia	Exidia_glandulosa
OTU84	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	unclassified	unclassified
OTU85	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	unclassified_Diatrypaceae	Diatrypaceae_sp
OTU86	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	Gibberella_fujikuroi
OTU87	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_canadensis
OTU88	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU89	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU90	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU91	Basidiomycota	Ustilaginomycotina_cls_Incertae_sedis	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
OTU92	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Penicillium_citrinum
OTU93	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Hymenoscyphus	Hymenoscyphus_albidus
OTU94	Basidiomycota	Tremellomycetes	Tremellales	Tremellales_fam_Incertae_sedis	unclassified_Tremellales_fam_Incertae_sedis	Tremellales_fam_Incertae_sedis_sp
OTU95	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Schizopora	Schizopora_paradoxa
OTU96	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Bjerkandera	Bjerkandera_adusta
OTU97	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Tubaria	unclassified
OTU98	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU99	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU100	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Puccinia	Puccinia_recondita
OTU101	Ascomycota	Leotiomycetes	Erysiphales	Erysiphaceae	Podosphaera	Podosphaera_tridactyla
OTU102	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
OTU103	Ascomycota	Dothideomycetes	Pleosporales	unclassified_Pleosporales	unclassified_Pleosporales	Pleosporales_sp
OTU104	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pseudeurotiaceae	unclassified_Pseudeurotiaceae	Pseudeurotiaceae_sp
OTU105	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	unclassified	unclassified
OTU106	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	unclassified
OTU107	Ascomycota	Dothideomycetes	Pleosporales	unclassified	unclassified	unclassified
OTU108	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Coriolopsis	Coriolopsis_gallica
OTU109	Ascomycota	Sordariomycetes	Coniochaetales	Coniochaetaceae	Coniochaeta	unclassified
OTU110	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	Ganoderma_australe
OTU111	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_canadensis
